animal_id,date,rigid,n_done_trials,n_sessions,start_time,train_dur_hrs,trial_rate,hit_rate,viol_rate,side_bias,mass,tech,percent_target,pub_volume,rig_volume,volume_target,water_diff
R011,2024-04-11,Rig19,96.0,1,11:40:46,2.14,44.86,0.75,0.04,0.3199999999999999,498.0,KO,0.0,0.0,2.415,14.94,-12.525
R012,2024-04-11,Rig22,150.0,1,11:40:43,2.12,70.75,0.74,0.01,0.01,466.0,KO,0.0,0.0,3.276,13.98,-10.704
R010,2024-04-12,Rig18,68.0,1,12:14:42,1.87,36.36,0.78,0.19,-0.14,458.0,KO,20.0,0.0,1.935,91.6,-89.66499999999999
R011,2024-04-12,Rig19,58.0,1,12:14:43,1.87,31.02,0.69,0.0,0.3399999999999999,493.0,KO,20.0,0.0,1.4,98.6,-97.2
R012,2024-04-12,Rig22,171.0,1,12:14:40,1.92,89.06,0.63,0.06,-0.09,467.0,KO,20.0,0.0,3.006,93.4,-90.394
R010,2024-04-13,Rig18,82.0,1,11:50:27,1.74,47.13,0.75,0.07,-0.02,459.0,AB,0.0,0.0,2.565,13.77,-11.205
R010,2024-04-14,Rig18,76.0,1,11:24:44,2.14,35.51,0.65,0.07,-0.06,455.0,AB,0.0,0.0,2.07,13.65,-11.58
R010,2024-04-15,Rig18,90.0,1,11:20:42,2.31,38.96,0.8,0.02,0.13,455.0,ER,0.0,0.0,3.15,13.65,-10.5
R011,2024-04-13,Rig19,106.0,1,11:50:28,1.74,60.92,0.6799999999999999,0.0,0.36,492.0,AB,0.0,0.0,2.52,14.76,-12.24
R011,2024-04-14,Rig19,163.0,1,11:24:45,2.14,76.17,0.73,0.01,0.13,489.0,AB,0.0,0.0,4.165,14.67,-10.505
R011,2024-04-15,Rig19,159.0,1,11:20:34,2.31,68.83,0.77,0.03,0.18,488.0,ER,0.0,0.0,4.165,14.64,-10.475
R012,2024-04-13,Rig22,152.0,1,11:53:16,1.71,88.89,0.59,0.02,-0.02,467.0,AB,0.0,0.0,2.64,14.01,-11.37
R012,2024-04-14,Rig22,193.0,1,11:27:44,2.12,91.04,0.71,0.06,-0.0799999999999999,466.0,AB,0.0,0.0,3.879,13.98,-10.101
R012,2024-04-15,Rig22,198.0,1,11:22:06,2.3,86.09,0.6699999999999999,0.02,-0.0299999999999999,465.0,ER,0.0,0.0,3.936,13.95,-10.014
R010,2024-04-16,Rig18,86.0,1,11:59:56,2.17,39.63,0.69,0.06,-0.0399999999999999,453.0,KO,0.0,0.0,2.52,13.59,-11.07
R010,2024-04-17,Rig18,76.0,1,12:05:55,2.39,31.8,0.69,0.1099999999999999,-0.14,453.0,KO,0.0,0.0,2.115,13.59,-11.475
R011,2024-04-16,Rig19,218.0,1,11:59:56,2.17,100.46,0.67,0.04,0.24,485.0,KO,0.0,0.0,4.9,14.55,-9.65
R011,2024-04-17,Rig19,114.0,1,12:05:56,2.4,47.5,0.72,0.03,0.35,487.0,KO,0.0,0.0,2.8,14.61,-11.81
R012,2024-04-16,Rig22,191.0,1,12:10:31,1.98,96.46,0.7,0.01,0.0,465.0,KO,0.0,0.0,3.954,13.95,-9.996
R012,2024-04-17,Rig22,207.0,1,12:06:02,2.43,85.19,0.73,0.03,-0.06,468.0,KO,0.0,0.0,4.41,14.04,-9.63
R010,2024-04-18,Rig18,66.0,1,11:51:21,1.99,33.17,0.8,0.26,-0.0799999999999999,456.0,KO,0.0,0.0,1.755,13.68,-11.925
R011,2024-04-18,Rig19,135.0,1,11:51:28,1.99,67.84,0.73,0.01,0.2699999999999999,487.0,KO,0.0,0.0,3.43,14.61,-11.18
R012,2024-04-18,Rig22,156.0,1,11:56:02,1.89,82.54,0.78,0.03,0.0,462.0,KO,0.0,0.0,3.54,13.86,-10.32
R010,2024-04-19,Rig18,31.0,1,12:09:13,1.84,16.85,0.99,0.97,0.99,459.0,KO,0.0,0.0,0.045,13.77,-13.725
R011,2024-04-19,Rig19,111.0,1,12:15:24,1.74,63.79,0.69,0.04,0.3200000000000001,486.0,KO,0.0,0.0,2.59,14.58,-11.99
R012,2024-04-19,Rig22,159.0,1,12:10:18,1.86,85.48,0.68,0.0,-0.12,465.0,KO,0.0,0.0,3.258,13.95,-10.692
R010,2024-04-20,Rig18,35.0,1,11:47:40,1.78,19.66,0.82,0.2,-0.22,459.0,AB,0.0,0.0,1.035,13.77,-12.735
R010,2024-04-21,Rig20,81.0,1,11:37:33,1.95,41.54,0.67,0.04,-0.0599999999999999,456.0,AB,0.0,0.0,2.34,13.68,-11.34
R011,2024-04-20,Rig19,135.0,1,11:43:43,1.84,73.37,0.79,0.04,0.16,484.0,AB,0.0,0.0,3.57,14.52,-10.95
R011,2024-04-21,Rig19,167.0,1,11:24:44,2.17,76.96,0.72,0.02,0.14,486.0,AB,0.0,0.0,4.13,14.58,-10.45
R012,2024-04-20,Rig22,155.0,1,11:46:38,1.82,85.16,0.71,0.0299999999999999,-0.04,465.0,AB,0.0,0.0,3.153,13.95,-10.797
R012,2024-04-21,Rig22,180.0,1,11:28:35,2.12,84.91,0.6,0.0299999999999999,-0.04,463.0,AB,0.0,0.0,3.135,13.89,-10.755
R010,2024-04-22,Rig20,98.0,1,11:14:50,2.26,43.36,0.71,0.05,-0.03,455.0,ER,0.0,0.0,2.97,13.65,-10.68
R011,2024-04-22,Rig19,144.0,1,11:14:42,2.27,63.44,0.73,0.01,0.1699999999999999,487.0,ER,0.0,0.0,3.64,14.61,-10.97
R012,2024-04-22,Rig22,179.0,1,11:16:21,2.25,79.56,0.67,0.02,-0.0699999999999999,465.0,ER,0.0,0.0,3.582,13.95,-10.368
R010,2024-04-23,Rig20,108.0,1,11:56:50,2.12,50.94,0.69,0.04,0.0,456.0,KO,0.0,0.0,3.24,13.68,-10.44
R010,2024-04-24,Rig20,89.0,1,12:17:22,1.83,48.63,0.74,0.06,0.07,457.0,KO,0.0,0.0,2.79,13.71,-10.920000000000002
R010,2024-04-25,Rig18,78.0,1,12:02:45,2.34,33.33,0.71,0.08,0.3299999999999999,457.0,KO,0.0,0.0,2.295,13.71,-11.415
R010,2024-04-26,Rig18,91.0,1,11:43:21,2.42,37.6,0.61,0.01,0.24,458.0,KO,0.0,0.0,2.475,13.74,-11.265
R011,2024-04-23,Rig19,249.0,1,11:56:47,2.12,117.45,0.64,0.02,0.15,487.0,KO,0.0,0.0,5.495,14.61,-9.114999999999998
R011,2024-04-24,Rig19,166.0,1,12:17:23,1.83,90.71,0.72,0.02,0.1799999999999999,488.0,KO,0.0,0.0,4.095,14.64,-10.545000000000002
R011,2024-04-25,Rig19,151.0,1,12:02:47,2.35,64.26,0.79,0.01,0.11,488.0,KO,0.0,0.0,4.165,14.64,-10.475
R011,2024-04-26,Rig19,167.0,1,11:54:48,2.23,74.89,0.68,0.02,0.31,489.0,KO,0.0,0.0,0.0,14.67,-14.67
R012,2024-04-23,Rig22,181.0,1,11:51:59,2.21,81.9,0.69,0.06,-0.0799999999999999,465.0,KO,0.0,0.0,3.498,13.95,-10.451999999999998
R012,2024-04-24,Rig22,176.0,1,12:17:20,1.82,96.7,0.66,0.05,-0.0699999999999999,469.0,KO,0.0,0.0,3.321,14.07,-10.749
R012,2024-04-25,Rig22,193.0,1,12:03:14,2.35,82.13,0.69,0.04,0.0399999999999999,464.0,KO,0.0,0.0,3.882,13.92,-10.038
R012,2024-04-26,Rig22,193.0,1,11:39:24,2.49,77.51,0.68,0.04,-0.0799999999999999,468.0,KO,0.0,0.0,3.768,14.04,-10.271999999999998
R010,2024-04-27,Rig18,82.0,1,11:21:22,2.26,36.28,0.75,0.06,0.28,458.0,AB,0.0,0.0,2.61,13.74,-11.13
R010,2024-04-28,Rig18,122.0,1,11:31:25,2.07,58.94,0.67,0.1,0.19,457.0,AB,0.0,0.0,3.33,13.71,-10.38
R010,2024-04-29,,,0,,0.0,,,,,457.0,ER,0.0,0.0,0.0,13.71,-13.71
R011,2024-04-27,Rig19,128.0,1,11:21:24,2.27,56.39,0.64,0.02,0.2599999999999999,490.0,AB,0.0,0.0,2.8,14.7,-11.9
R011,2024-04-28,Rig19,215.0,1,11:31:27,2.08,103.37,0.72,0.03,0.1899999999999999,494.0,AB,0.0,0.0,5.25,14.82,-9.57
R011,2024-04-29,,,0,,0.0,,,,,495.0,ER,0.0,0.0,0.0,14.85,-14.85
R012,2024-04-27,Rig22,293.0,1,13:50:56,2.35,124.68,0.0,0.99,0.0,467.0,AB,0.0,0.0,0.0,14.01,-14.01
R012,2024-04-28,Rig22,190.0,1,11:35:10,2.03,93.6,0.66,0.03,-0.04,465.0,AB,0.0,0.0,3.66,13.95,-10.29
R012,2024-04-29,,,0,,0.0,,,,,466.0,ER,0.0,0.0,0.0,13.98,-13.98
R010,2024-04-30,Rig18,155.0,1,12:38:06,1.78,87.08,0.85,0.0299999999999999,0.1499999999999999,455.0,KO,0.0,0.0,5.76,13.65,-7.890000000000001
R010,2024-05-01,Rig18,96.0,1,11:48:31,2.08,46.15,0.82,0.03,0.1999999999999999,458.0,KO,0.0,0.0,3.42,13.74,-10.32
R011,2024-04-30,Rig19,190.0,1,12:38:09,1.78,106.74,0.74,0.04,0.2299999999999999,495.0,KO,0.0,0.0,4.725,14.85,-10.125
R011,2024-05-01,Rig19,155.0,1,11:48:31,2.08,74.52,0.73,0.05,0.13,501.0,KO,0.0,0.0,3.78,15.03,-11.25
R012,2024-04-30,Rig22,190.0,1,12:43:36,1.72,110.47,0.66,0.14,0.02,465.0,KO,0.0,0.0,3.234,13.95,-10.716
R012,2024-05-01,,,0,,0.0,,,,,473.0,KO,0.0,0.0,0.0,14.19,-14.19
R010,2024-05-02,,,0,,0.0,,,,,0.0,FW,0.0,0.0,0.0,0.0,0.0
R010,2024-05-04,Rig18,61.0,1,11:23:21,2.2,27.73,0.85,0.15,0.07,475.0,AB,0.0,0.0,1.98,14.25,-12.27
R011,2024-05-02,,,0,,0.0,,,,,0.0,FW,0.0,0.0,0.0,0.0,0.0
R011,2024-05-04,Rig19,77.0,1,11:23:24,2.21,34.84,0.4899999999999999,0.1,0.37,521.0,AB,0.0,0.0,1.19,15.63,-14.44
R012,2024-05-02,,,0,,0.0,,,,,0.0,FW,0.0,0.0,0.0,0.0,0.0
R012,2024-05-04,Rig22,147.0,1,11:26:33,2.16,68.06,0.68,0.05,0.0199999999999999,477.0,AB,0.0,0.0,2.802,14.31,-11.508
R010,2024-05-05,Rig18,146.0,1,11:23:49,2.18,66.97,0.8,0.06,0.08999999999999997,465.0,AB,0.0,0.0,4.95,13.95,-9.0
R010,2024-05-06,Rig18,132.0,1,11:09:14,2.35,56.17,0.9,0.03,0.030000000000000027,461.0,ER,0.0,0.0,5.175,13.83,-8.655000000000001
R011,2024-05-05,Rig19,195.0,1,11:21:14,2.23,87.44,0.6600000000000001,0.05,0.15000000000000002,506.0,AB,0.0,0.0,4.305,15.18,-10.875
R011,2024-05-06,Rig19,159.0,1,11:09:16,2.35,67.66,0.68,0.10999999999999999,0.20999999999999996,506.0,ER,0.0,0.0,3.36,15.18,-11.82
R012,2024-05-05,Rig22,297.0,1,11:23:48,2.22,133.78,0.6,0.17,0.14,469.0,AB,0.0,0.0,4.383,14.07,-9.687000000000001
R012,2024-05-06,Rig22,216.0,1,11:11:15,2.34,92.31,0.6800000000000002,0.03,-0.019999999999999907,467.0,ER,0.0,0.0,4.293,14.01,-9.716999999999999
